5: program -> PROGRAM
5: gcd -> ID
5: ; -> SEMI
6: var -> VAR
7: int -> INT
7: u -> ID
7: ; -> SEMI
8: int -> INT
8: v -> ID
8: ; -> SEMI
9: int -> INT
9: temp -> ID
9: ; -> SEMI
10: begin -> BEGIN
11: read -> READ
11: u -> ID
11: ; -> SEMI
12: read -> READ
12: v -> ID
12: ; -> SEMI
13: if -> IF
13: v -> ID
13: = -> EQ
13: 0 -> INT_VAL
13: then -> THEN
13: v -> ID
13: := -> ASSIGN
13: 0 -> INT_VAL
13: ; -> SEMI
14: else -> ELSE
15: repeat -> REPEAT
16: temp -> ID
16: := -> ASSIGN
16: v -> ID
16: ; -> SEMI
17: v -> ID
17: := -> ASSIGN
17: u -> ID
17: - -> MINUS
17: u -> ID
17: / -> OVER
17: v -> ID
17: * -> TIMES
17: v -> ID
17: ; -> SEMI
18: u -> ID
18: := -> ASSIGN
18: temp -> ID
18: ; -> SEMI
19: until -> UNTIL
19: v -> ID
19: = -> EQ
19: 0 -> INT_VAL
20: end -> END
21: write -> WRITE
21: u -> ID
21: ; -> SEMI
22: end -> END
