5: program -> PROGRAM
5: typemix -> ID
5: ; -> SEMI
6: var -> VAR
7: int -> INT
7: i -> ID
7: ; -> SEMI
8: real -> REAL
8: r -> ID
8: ; -> SEMI
9: string -> STRING
9: s -> ID
9: ; -> SEMI
10: bool -> BOOL
10: b -> ID
10: ; -> SEMI
11: begin -> BEGIN
12: i -> ID
12: := -> ASSIGN
12: 10 -> INT_VAL
12: ; -> SEMI
13: r -> ID
13: := -> ASSIGN
13: 4.2 -> REAL_VAL
13: ; -> SEMI
14: s -> ID
14: := -> ASSIGN
14: "ABC" -> STR_VAL
14: ; -> SEMI
15: b -> ID
15: := -> ASSIGN
15: true -> TRUE
15: ; -> SEMI
17: i -> ID
17: := -> ASSIGN
17: i -> ID
17: + -> PLUS
17: b -> ID
17: ; -> SEMI
18: write -> WRITE
18: i -> ID
18: ; -> SEMI
19: r -> ID
19: := -> ASSIGN
19: r -> ID
19: / -> OVER
19: 2 -> INT_VAL
19: ; -> SEMI
20: write -> WRITE
20: r -> ID
20: ; -> SEMI
21: s -> ID
21: := -> ASSIGN
21: s -> ID
21: + -> PLUS
21: "D\n" -> STR_VAL
21: ; -> SEMI
22: write -> WRITE
22: s -> ID
22: ; -> SEMI
24: b -> ID
24: := -> ASSIGN
24: 20 -> INT_VAL
24: < -> LT
24: i -> ID
24: ; -> SEMI
25: write -> WRITE
25: b -> ID
25: ; -> SEMI
26: s -> ID
26: := -> ASSIGN
26: "i = " -> STR_VAL
26: + -> PLUS
26: i -> ID
26: + -> PLUS
26: "\n" -> STR_VAL
26: ; -> SEMI
27: write -> WRITE
27: s -> ID
27: ; -> SEMI
28: r -> ID
28: := -> ASSIGN
28: 4.2 -> REAL_VAL
28: + -> PLUS
28: 2 -> INT_VAL
28: ; -> SEMI
29: write -> WRITE
29: r -> ID
29: ; -> SEMI
30: end -> END
