4: program -> PROGRAM
4: fact -> ID
4: ; -> SEMI
5: var -> VAR
6: int -> INT
6: x -> ID
6: ; -> SEMI
7: int -> INT
7: fact -> ID
7: ; -> SEMI
8: begin -> BEGIN
9: read -> READ
9: x -> ID
9: ; -> SEMI
10: if -> IF
10: 0 -> INT_VAL
10: < -> LT
10: x -> ID
10: then -> THEN
11: fact -> ID
11: := -> ASSIGN
11: 1 -> INT_VAL
11: ; -> SEMI
12: repeat -> REPEAT
13: fact -> ID
13: := -> ASSIGN
13: fact -> ID
13: * -> TIMES
13: x -> ID
13: ; -> SEMI
14: x -> ID
14: := -> ASSIGN
14: x -> ID
14: - -> MINUS
14: 1 -> INT_VAL
14: ; -> SEMI
15: until -> UNTIL
15: x -> ID
15: = -> EQ
15: 0 -> INT_VAL
16: write -> WRITE
16: fact -> ID
16: ; -> SEMI
17: end -> END
18: end -> END
