[@0,61:67='program',<'program'>,5:0]
[@1,69:74='addone',<ID>,5:8]
[@2,75:75=';',<';'>,5:14]
[@3,77:79='var',<'var'>,6:0]
[@4,85:87='int',<'int'>,7:4]
[@5,89:89='x',<ID>,7:8]
[@6,90:90=';',<';'>,7:9]
[@7,92:96='begin',<'begin'>,8:0]
[@8,102:105='read',<'read'>,9:4]
[@9,107:107='x',<ID>,9:9]
[@10,108:108=';',<';'>,9:10]
[@11,114:114='x',<ID>,10:4]
[@12,116:117=':=',<':='>,10:6]
[@13,119:119='x',<ID>,10:9]
[@14,121:121='+',<'+'>,10:11]
[@15,123:123='1',<INT_VAL>,10:13]
[@16,124:124=';',<';'>,10:14]
[@17,130:134='write',<'write'>,11:4]
[@18,136:136='x',<ID>,11:10]
[@19,137:137=';',<';'>,11:11]
[@20,139:141='end',<'end'>,12:0]
[@21,143:142='<EOF>',<EOF>,13:0]
