[@0,67:73='program',<'program'>,5:0]
[@1,75:80='writes',<ID>,5:8]
[@2,81:81=';',<';'>,5:14]
[@3,83:85='var',<'var'>,6:0]
[@4,88:92='begin',<'begin'>,8:0]
[@5,98:102='write',<'write'>,9:4]
[@6,104:113='"4 + 2 = "',<STR_VAL>,9:10]
[@7,114:114=';',<';'>,9:20]
[@8,120:124='write',<'write'>,10:4]
[@9,126:126='4',<INT_VAL>,10:10]
[@10,128:128='+',<'+'>,10:12]
[@11,130:130='2',<INT_VAL>,10:14]
[@12,131:131=';',<';'>,10:15]
[@13,138:142='write',<'write'>,12:4]
[@14,144:153='"5 - 2 = "',<STR_VAL>,12:10]
[@15,154:154=';',<';'>,12:20]
[@16,160:164='write',<'write'>,13:4]
[@17,166:166='5',<INT_VAL>,13:10]
[@18,168:168='-',<'-'>,13:12]
[@19,170:170='2',<INT_VAL>,13:14]
[@20,171:171=';',<';'>,13:15]
[@21,178:182='write',<'write'>,15:4]
[@22,184:193='"4 * 2 = "',<STR_VAL>,15:10]
[@23,194:194=';',<';'>,15:20]
[@24,200:204='write',<'write'>,16:4]
[@25,206:206='4',<INT_VAL>,16:10]
[@26,208:208='*',<'*'>,16:12]
[@27,210:210='2',<INT_VAL>,16:14]
[@28,211:211=';',<';'>,16:15]
[@29,218:222='write',<'write'>,18:4]
[@30,224:233='"4 / 2 = "',<STR_VAL>,18:10]
[@31,234:234=';',<';'>,18:20]
[@32,240:244='write',<'write'>,19:4]
[@33,246:246='4',<INT_VAL>,19:10]
[@34,248:248='/',<'/'>,19:12]
[@35,250:250='2',<INT_VAL>,19:14]
[@36,251:251=';',<';'>,19:15]
[@37,253:255='end',<'end'>,20:0]
[@38,257:256='<EOF>',<EOF>,21:0]
