[@0,82:88='program',<'program'>,5:0]
[@1,90:94='silly',<ID>,5:8]
[@2,95:95=';',<';'>,5:13]
[@3,97:99='var',<'var'>,6:0]
[@4,105:107='int',<'int'>,7:4]
[@5,109:112='xxxx',<ID>,7:8]
[@6,113:113=';',<';'>,7:12]
[@7,119:121='int',<'int'>,8:4]
[@8,123:125='yyy',<ID>,8:8]
[@9,126:126=';',<';'>,8:11]
[@10,132:134='int',<'int'>,9:4]
[@11,136:149='longidentifier',<ID>,9:8]
[@12,150:150=';',<';'>,9:22]
[@13,152:156='begin',<'begin'>,10:0]
[@14,162:166='write',<'write'>,11:4]
[@15,168:185='"Silly program.\n"',<STR_VAL>,11:10]
[@16,186:186=';',<';'>,11:28]
[@17,192:196='write',<'write'>,12:4]
[@18,198:198='4',<INT_VAL>,12:10]
[@19,200:200='+',<'+'>,12:12]
[@20,202:202='3',<INT_VAL>,12:14]
[@21,204:204='*',<'*'>,12:16]
[@22,206:206='2',<INT_VAL>,12:18]
[@23,207:207=';',<';'>,12:19]
[@24,253:257='write',<'write'>,13:4]
[@25,259:276='"Silly program.\n"',<STR_VAL>,13:10]
[@26,277:277=';',<';'>,13:28]
[@27,325:328='xxxx',<ID>,14:4]
[@28,330:331=':=',<':='>,14:9]
[@29,333:333='4',<INT_VAL>,14:12]
[@30,334:334=';',<';'>,14:13]
[@31,340:353='longidentifier',<ID>,15:4]
[@32,355:356=':=',<':='>,15:19]
[@33,358:358='4',<INT_VAL>,15:22]
[@34,359:359=';',<';'>,15:23]
[@35,365:367='yyy',<ID>,16:4]
[@36,369:370=':=',<':='>,16:8]
[@37,372:385='longidentifier',<ID>,16:11]
[@38,386:386=';',<';'>,16:25]
[@39,392:396='write',<'write'>,17:4]
[@40,398:398='(',<'('>,17:10]
[@41,399:402='xxxx',<ID>,17:11]
[@42,404:404='*',<'*'>,17:16]
[@43,406:408='yyy',<ID>,17:18]
[@44,409:409=')',<')'>,17:21]
[@45,411:411='/',<'/'>,17:23]
[@46,413:426='longidentifier',<ID>,17:25]
[@47,427:427=';',<';'>,17:39]
[@48,449:451='end',<'end'>,18:0]
[@49,453:452='<EOF>',<EOF>,19:0]
