[@0,71:77='program',<'program'>,5:0]
[@1,79:81='gcd',<ID>,5:8]
[@2,82:82=';',<';'>,5:11]
[@3,84:86='var',<'var'>,6:0]
[@4,92:94='int',<'int'>,7:4]
[@5,96:96='u',<ID>,7:8]
[@6,97:97=';',<';'>,7:9]
[@7,103:105='int',<'int'>,8:4]
[@8,107:107='v',<ID>,8:8]
[@9,108:108=';',<';'>,8:9]
[@10,114:116='int',<'int'>,9:4]
[@11,118:121='temp',<ID>,9:8]
[@12,122:122=';',<';'>,9:12]
[@13,124:128='begin',<'begin'>,10:0]
[@14,134:137='read',<'read'>,11:4]
[@15,139:139='u',<ID>,11:9]
[@16,140:140=';',<';'>,11:10]
[@17,146:149='read',<'read'>,12:4]
[@18,151:151='v',<ID>,12:9]
[@19,152:152=';',<';'>,12:10]
[@20,181:182='if',<'if'>,13:4]
[@21,184:184='v',<ID>,13:7]
[@22,186:186='=',<'='>,13:9]
[@23,188:188='0',<INT_VAL>,13:11]
[@24,190:193='then',<'then'>,13:13]
[@25,195:195='v',<ID>,13:18]
[@26,197:198=':=',<':='>,13:20]
[@27,200:200='0',<INT_VAL>,13:23]
[@28,201:201=';',<';'>,13:24]
[@29,222:225='else',<'else'>,14:4]
[@30,235:240='repeat',<'repeat'>,15:8]
[@31,254:257='temp',<ID>,16:12]
[@32,259:260=':=',<':='>,16:17]
[@33,262:262='v',<ID>,16:20]
[@34,263:263=';',<';'>,16:21]
[@35,277:277='v',<ID>,17:12]
[@36,279:280=':=',<':='>,17:14]
[@37,282:282='u',<ID>,17:17]
[@38,284:284='-',<'-'>,17:19]
[@39,286:286='u',<ID>,17:21]
[@40,287:287='/',<'/'>,17:22]
[@41,288:288='v',<ID>,17:23]
[@42,289:289='*',<'*'>,17:24]
[@43,290:290='v',<ID>,17:25]
[@44,291:291=';',<';'>,17:26]
[@45,305:305='u',<ID>,18:12]
[@46,307:308=':=',<':='>,18:14]
[@47,310:313='temp',<ID>,18:17]
[@48,314:314=';',<';'>,18:21]
[@49,324:328='until',<'until'>,19:8]
[@50,330:330='v',<ID>,19:14]
[@51,332:332='=',<'='>,19:16]
[@52,334:334='0',<INT_VAL>,19:18]
[@53,340:342='end',<'end'>,20:4]
[@54,348:352='write',<'write'>,21:4]
[@55,354:354='u',<ID>,21:10]
[@56,355:355=';',<';'>,21:11]
[@57,390:392='end',<'end'>,22:0]
[@58,394:393='<EOF>',<EOF>,23:0]
