[@0,58:64='program',<'program'>,5:0]
[@1,66:69='loop',<ID>,5:8]
[@2,70:70=';',<';'>,5:12]
[@3,72:74='var',<'var'>,6:0]
[@4,76:78='int',<'int'>,6:4]
[@5,80:80='x',<ID>,6:8]
[@6,81:81=';',<';'>,6:9]
[@7,83:87='begin',<'begin'>,7:0]
[@8,93:93='x',<ID>,8:4]
[@9,95:96=':=',<':='>,8:6]
[@10,98:98='1',<INT_VAL>,8:9]
[@11,99:99=';',<';'>,8:10]
[@12,105:110='repeat',<'repeat'>,9:4]
[@13,120:124='write',<'write'>,10:8]
[@14,126:126='x',<ID>,10:14]
[@15,127:127=';',<';'>,10:15]
[@16,137:137='x',<ID>,11:8]
[@17,139:140=':=',<':='>,11:10]
[@18,142:142='x',<ID>,11:13]
[@19,144:144='+',<'+'>,11:15]
[@20,146:146='1',<INT_VAL>,11:17]
[@21,147:147=';',<';'>,11:18]
[@22,153:157='until',<'until'>,12:4]
[@23,159:159='5',<INT_VAL>,12:10]
[@24,161:161='<',<'<'>,12:12]
[@25,163:163='x',<ID>,12:14]
[@26,165:167='end',<'end'>,13:0]
[@27,169:168='<EOF>',<EOF>,14:0]
