[@0,57:63='program',<'program'>,4:0]
[@1,65:68='fact',<ID>,4:8]
[@2,69:69=';',<';'>,4:12]
[@3,71:73='var',<'var'>,5:0]
[@4,79:81='int',<'int'>,6:4]
[@5,83:83='x',<ID>,6:8]
[@6,84:84=';',<';'>,6:9]
[@7,90:92='int',<'int'>,7:4]
[@8,94:97='fact',<ID>,7:8]
[@9,98:98=';',<';'>,7:12]
[@10,100:104='begin',<'begin'>,8:0]
[@11,110:113='read',<'read'>,9:4]
[@12,115:115='x',<ID>,9:9]
[@13,116:116=';',<';'>,9:10]
[@14,143:144='if',<'if'>,10:4]
[@15,146:146='0',<INT_VAL>,10:7]
[@16,148:148='<',<'<'>,10:9]
[@17,150:150='x',<ID>,10:11]
[@18,152:155='then',<'then'>,10:13]
[@19,193:196='fact',<ID>,11:8]
[@20,198:199=':=',<':='>,11:13]
[@21,201:201='1',<INT_VAL>,11:16]
[@22,202:202=';',<';'>,11:17]
[@23,212:217='repeat',<'repeat'>,12:8]
[@24,231:234='fact',<ID>,13:12]
[@25,236:237=':=',<':='>,13:17]
[@26,239:242='fact',<ID>,13:20]
[@27,244:244='*',<'*'>,13:25]
[@28,246:246='x',<ID>,13:27]
[@29,247:247=';',<';'>,13:28]
[@30,261:261='x',<ID>,14:12]
[@31,263:264=':=',<':='>,14:14]
[@32,266:266='x',<ID>,14:17]
[@33,268:268='-',<'-'>,14:19]
[@34,270:270='1',<INT_VAL>,14:21]
[@35,271:271=';',<';'>,14:22]
[@36,281:285='until',<'until'>,15:8]
[@37,287:287='x',<ID>,15:14]
[@38,289:289='=',<'='>,15:16]
[@39,291:291='0',<INT_VAL>,15:18]
[@40,301:305='write',<'write'>,16:8]
[@41,307:310='fact',<ID>,16:14]
[@42,311:311=';',<';'>,16:18]
[@43,343:345='end',<'end'>,17:4]
[@44,347:349='end',<'end'>,18:0]
[@45,351:350='<EOF>',<EOF>,19:0]
