[@0,68:74='program',<'program'>,5:0]
[@1,76:78='err',<ID>,5:8]
[@2,79:79=';',<';'>,5:11]
[@3,81:83='var',<'var'>,6:0]
[@4,89:91='int',<'int'>,7:4]
[@5,93:93='x',<ID>,7:8]
[@6,94:94=';',<';'>,7:9]
[@7,100:102='int',<'int'>,8:4]
[@8,104:104='y',<ID>,8:8]
[@9,105:105=';',<';'>,8:9]
[@10,111:113='int',<'int'>,9:4]
[@11,115:115='x',<ID>,9:8]
[@12,116:116=';',<';'>,9:9]
[@13,162:166='begin',<'begin'>,10:0]
[@14,172:172='x',<ID>,11:4]
[@15,174:175=':=',<':='>,11:6]
[@16,177:177='0',<INT_VAL>,11:9]
[@17,178:178=';',<';'>,11:10]
[@18,184:184='y',<ID>,12:4]
[@19,186:187=':=',<':='>,12:6]
[@20,189:189='1',<INT_VAL>,12:9]
[@21,190:190=';',<';'>,12:10]
[@22,192:194='end',<'end'>,13:0]
[@23,196:195='<EOF>',<EOF>,14:0]
