[@0,71:77='program',<'program'>,5:0]
[@1,79:85='typemix',<ID>,5:8]
[@2,86:86=';',<';'>,5:15]
[@3,88:90='var',<'var'>,6:0]
[@4,96:98='int',<'int'>,7:4]
[@5,100:100='i',<ID>,7:8]
[@6,101:101=';',<';'>,7:9]
[@7,107:110='real',<'real'>,8:4]
[@8,112:112='r',<ID>,8:9]
[@9,113:113=';',<';'>,8:10]
[@10,119:124='string',<'string'>,9:4]
[@11,126:126='s',<ID>,9:11]
[@12,127:127=';',<';'>,9:12]
[@13,133:136='bool',<'bool'>,10:4]
[@14,138:138='b',<ID>,10:9]
[@15,139:139=';',<';'>,10:10]
[@16,141:145='begin',<'begin'>,11:0]
[@17,151:151='i',<ID>,12:4]
[@18,153:154=':=',<':='>,12:6]
[@19,156:157='10',<INT_VAL>,12:9]
[@20,158:158=';',<';'>,12:11]
[@21,164:164='r',<ID>,13:4]
[@22,166:167=':=',<':='>,13:6]
[@23,169:171='4.2',<REAL_VAL>,13:9]
[@24,172:172=';',<';'>,13:12]
[@25,178:178='s',<ID>,14:4]
[@26,180:181=':=',<':='>,14:6]
[@27,183:187='"ABC"',<STR_VAL>,14:9]
[@28,188:188=';',<';'>,14:14]
[@29,194:194='b',<ID>,15:4]
[@30,196:197=':=',<':='>,15:6]
[@31,199:202='true',<'true'>,15:9]
[@32,203:203=';',<';'>,15:13]
[@33,210:210='i',<ID>,17:4]
[@34,212:213=':=',<':='>,17:6]
[@35,215:215='i',<ID>,17:9]
[@36,217:217='+',<'+'>,17:11]
[@37,219:219='b',<ID>,17:13]
[@38,220:220=';',<';'>,17:14]
[@39,226:230='write',<'write'>,18:4]
[@40,232:232='i',<ID>,18:10]
[@41,233:233=';',<';'>,18:11]
[@42,280:280='r',<ID>,19:4]
[@43,282:283=':=',<':='>,19:6]
[@44,285:285='r',<ID>,19:9]
[@45,287:287='/',<'/'>,19:11]
[@46,289:289='2',<INT_VAL>,19:13]
[@47,290:290=';',<';'>,19:14]
[@48,296:300='write',<'write'>,20:4]
[@49,302:302='r',<ID>,20:10]
[@50,303:303=';',<';'>,20:11]
[@51,351:351='s',<ID>,21:4]
[@52,353:354=':=',<':='>,21:6]
[@53,356:356='s',<ID>,21:9]
[@54,358:358='+',<'+'>,21:11]
[@55,360:364='"D\n"',<STR_VAL>,21:13]
[@56,365:365=';',<';'>,21:18]
[@57,371:375='write',<'write'>,22:4]
[@58,377:377='s',<ID>,22:10]
[@59,378:378=';',<';'>,22:11]
[@60,430:430='b',<ID>,24:4]
[@61,432:433=':=',<':='>,24:6]
[@62,435:436='20',<INT_VAL>,24:9]
[@63,438:438='<',<'<'>,24:12]
[@64,440:440='i',<ID>,24:14]
[@65,441:441=';',<';'>,24:15]
[@66,447:451='write',<'write'>,25:4]
[@67,453:453='b',<ID>,25:10]
[@68,454:454=';',<';'>,25:11]
[@69,504:504='s',<ID>,26:4]
[@70,506:507=':=',<':='>,26:6]
[@71,509:514='"i = "',<STR_VAL>,26:9]
[@72,516:516='+',<'+'>,26:16]
[@73,518:518='i',<ID>,26:18]
[@74,520:520='+',<'+'>,26:20]
[@75,522:525='"\n"',<STR_VAL>,26:22]
[@76,526:526=';',<';'>,26:26]
[@77,532:536='write',<'write'>,27:4]
[@78,538:538='s',<ID>,27:10]
[@79,539:539=';',<';'>,27:11]
[@80,592:592='r',<ID>,28:4]
[@81,594:595=':=',<':='>,28:6]
[@82,597:599='4.2',<REAL_VAL>,28:9]
[@83,601:601='+',<'+'>,28:13]
[@84,603:603='2',<INT_VAL>,28:15]
[@85,604:604=';',<';'>,28:16]
[@86,610:614='write',<'write'>,29:4]
[@87,616:616='r',<ID>,29:10]
[@88,617:617=';',<';'>,29:11]
[@89,661:663='end',<'end'>,30:0]
[@90,665:664='<EOF>',<EOF>,31:0]
